Token,Symbol
4421,CREDITACC
4422,INDIANCARD
4481,AARTIDRUGS
4487,ALKYLAMINE
4491,JCHAC
4503,MPHASIS
4522,SIGIND
4525,DYNAMATECH
4548,GUJRAFFIA
4566,RUCHINFRA
4587,RAMCOIND
4594,KOTHARIPET
4598,HERITGFOOD
4654,AILIMITED
4656,SBCL
4668,BANKBARODA
4684,SONACOMS
4693,SHYAMMETL
4717,GAIL
4732,SKMEGGPROD
4745,BANKINDIA
4747,INDNIPPON
4749,CONCOR
4751,INDRAMEDCO
4774,LAKPRE
4809,KCPSUGIND
4821,GTL
4822,DODLA
4843,SNOWMAN
4847,KIMS
4870,INDSWFTLAB
4892,SAREGAMA
4898,FDC
4907,ENGINERSIN
4911,MADRASFERT
4924,HINDCON
4934,IPL
4953,ADROITINFO
4959,GANGAFORGE
4963,ICICIBANK
4986,IRCON
4992,SHARDACROP
5010,GOENKA
5013,WALPAR
5020,SVPGLOB
5049,CLEAN
5054,GRINFRA
5060,SPECTRUM
5068,SHEMAROO
5097,ZOMATO
5108,KPIGREEN
5114,SGIL
5121,HLVLTD
5142,CIGNITITEC
5143,JAICORPLTD
5162,TATVA
5186,STYLAMIND
5194,ANTGRAPHIC
5204,GMDCLTD
5239,MAHAPEXLTD
5248,AAREYDRUGS
5258,INDUSINDBK
5264,PDSL
5265,GLS
5279,ROLEXRINGS
5292,PRITIKAUTO
5299,NPST
5309,REXPIPES
5313,UGROCAP
5352,EXXARO
5359,KRSNAA
5366,WINDLAS
5373,DEVYANI
5378,ASAHIINDIA
5382,EPIGRAL
5385,AAVAS
5394,MOL
5401,NGIL
5407,CARTRADE
5426,NUVOCO
5428,TRIGYN
5435,APTUS
5449,CHEMPLASTS
5457,DUGLOBAL
5460,PARIN
5475,GRSE
5481,JYOTISTRUC
5501,YUKEN
5507,SERVOTECH
5519,JAIPURKURT
5528,KOTHARIPRO
5549,ABMINTLLTD
5578,AMIORG
5585,VIJAYA
5606,INTLCONV
5610,ASTRAZEN
5614,GANESHBE
5621,3RDROCK
5622,ITDCEM
5631,PAR
5633,J&KBANK
5655,SHANTI
5662,BEWLTD
5701,CUB
5735,HCL-INSYS
5748,CYIENT
5751,SANSERA
5789,BKMINDST
5867,LAGNAM
5870,QUADPRO
5884,PRECOT
5900,AXISBANK
5911,PARAS
5926,INTELLECT
5938,MONTECARLO
5945,UWCSL
5948,SOUTHBANK
6006,COASTCORP
6012,JAINAM
6018,ABSLAMC
6040,EIFFL
6045,PASUPTAC
6051,CYBERTECH
6052,BMETRICS
6066,ATGL
6068,AIROLAM
6079,DYNAMIC
6092,DESTINY
6125,GOODLUCK
6136,DIGJAMLMTD
6141,PANSARI
6156,ARTNIRMAN
6164,BHAGCHEM
6198,FCL
6216,CAMLINFINE
6218,SIKKO
6227,DTIL
6232,3IINFOLTD
6248,PREMIER
6249,DKEGL
6258,ROLTA
6259,RAJVIR
6262,SELMC
6278,MEDICAMEQ
6286,GULPOLY
6302,APOLSINHOT
6364,NATIONALUM
6385,CCHHL
6400,ARCHIES
6407,LAMBODHARA
6417,KRITI
6428,MANORG
6435,AIRTELPP
6441,KOTYARK
6445,TECHNOE
6451,SHUBHLAXMI
6501,IRIS
6543,GRPLTD
6545,NYKAA
6568,LAXMICOT
6579,FINOPB
6592,NIDAN
6596,SONATSOFTW
6600,GENUSPAPER
6636,TATAINVEST
6643,SJS
6656,POLICYBZR
6663,SIGACHI
6673,FOODSIN
6686,DRSDILIP
6705,PAYTM
6711,IVC
6713,MOLDTKPAC
6718,SAPPHIRE
6733,JINDALSTEL
6764,MARSHALL
6782,NIPPOBATRY
6792,SBC
6803,STEELCAS
6822,LATENTVIEW
6836,FOCUS
6843,SMLT
6848,GREENLAM
6860,DHRUV
6863,BAJAJHCARE
6908,VISHNU
6915,RPPL
6934,MODIRUBBER
6943,TARSONS
6944,GANECOS
6951,LINC
6961,MENONBE
6964,GOCOLORS
6973,DMCC
6994,BSOFT
7016,SHIVALIK
7030,ASIANENE
7048,HESTERBIO
7053,ACCELYA
7083,STARHEALTH
7094,SEJALLTD
7105,TEGA
7113,JMA
7138,ZODIAC
7145,ANANDRATHI
7169,MICEL
7177,RATEGAIN
7200,SHRIRAMPPS
7211,JETFREIGHT
7227,MAPMYINDIA
7229,HCLTECH
7242,METROBRAND
7254,MEDPLUS
7276,UDAICEMENT
7287,JTLIND
7325,DCMSRIND
7331,EUROBOND
7358,DATAPATTNS
7374,STAR
7376,HPAL
7385,FOCE
7390,SUPRIYA
7401,RAJESHEXPO
7406,GLENMARK
7417,MANAKCOAT
7420,MANAKALUCO
7425,HECPROJECT
7450,NILASPACES
7457,HAVISHA
7482,MANAKSTEEL
7497,WOCKPHARMA
7508,ZENTEC
7537,LCCINFOTEC
7553,NRBBEARING
7560,UNITEDPOLY
7603,CMSINFO
7605,TREJHARA
7610,VIVO
7623,ALPSINDUS
7634,SHREERAMA
7672,IMAGICAA
7679,MONARCH
7750,21STCENMGM
7759,ABAN
7780,BCONCEPTS
7787,ABCOTS
7797,UNIINFO
7800,TIMESCAN
7837,WEL
7852,INOXWIND
7853,BIL
7862,GEPIL
7869,RAMCOSYS
7886,MHLXMIRU
7902,LFIC
7919,BYKE
7927,AGSTRA
7929,ZYDUSLIFE
7936,AVANTIFEED
7950,PRECISION
7965,MALLCOM
7982,GRWRHITECH
8028,CINEVISTA
8050,MAHLIFE
8054,KTKBANK
8075,DALBHARAT
8097,CROWN
8109,OILCOUNTUB
8110,AWL
8119,RPSGVENT
8124,AJANTPHARM
8139,BLBLIMITED
8146,DEVIT
8153,MEGASTAR
8159,FIBERWEB
8163,SPENCERS
8167,MANYAVAR
8175,SAGARDEEP
8188,PEARLPOLY
8208,RICHA
8259,MADHAVBAUG
8266,SOFTTECH
8304,PRITI
8311,BLUESTARCO
8394,SHIGAN
8400,CALSOFT
8412,GLFL
8426,RSSOFTWARE
8428,RAJRILTD
8437,VIPULLTD
8469,MITCON
8478,XELPMOC
8479,TVSMOTOR
8510,GATEWAY
8513,SURANI
8527,SPRL
8529,GMRP&UI
8546,CHALET
8552,BLUECOAST
8560,COOLCAPS
8568,HITECHGEAR
8585,NLCINDIA
8588,ABNINT
8595,AKSHOPTFBR
8596,MSUMI
8602,KNAGRI
8608,SWARAJ
8614,INDOBORAX
8650,BLUECHIP
8652,VETO
8657,DIL
8671,KRISHIVAL
8687,MUKTAARTS
8696,VRLLOG
8704,DCMFINSERV
8722,TCIFINANCE
8727,SHAILY
8733,S&SPOWER
8735,PROPEQUITY
8736,PNBGILTS
8779,MEP
8782,KRISHNADEF
8797,OBCL
8806,SONAMLTD
8825,PRIVISCL
8827,AVROIND
8828,GAEL
8840,USHAMART
8845,UMAEXPORTS
8866,CHOICEIN
8880,KEEPLEARN
8886,EUROTEXIND
8890,VERANDA
8893,UNITECH
8908,MINDPOOL
8931,SUPERSPIN
8940,E2E
8944,RITCO
8953,ELDEHSG
8954,TTML
8962,HARDWYN
8968,HARIOMPIPE
8975,PARASPETRO
9002,MRO-TEK
9014,ANUP
9027,VCL
9039,UFO
9044,JSLL
9046,AGROPHOS
9049,ROTO
9051,REGENCERAM
9087,PIXTRANS
9104,SOMATEX
9111,ARVINDFASN
9116,INDOAMIN
9117,TIPSINDLTD
9158,BALAJITELE
9219,TPLPLASTEH
9253,NILAINFRA
9260,ARROWGREEN
9296,KRITIKA
9309,STLTECH
9314,STARTECK
9331,SIMPLEXINF
9342,PNC
9348,IOB
9354,TAJGVK
9356,MSTCLTD
9362,CAMPUS
9372,LEMERITE
9376,QUINTEGRA
9378,TRU
9380,IL&FSENGG
9381,IL&FSTRANS
9385,PNCINFRA
9388,CREATIVEYE
9408,RAINBOW
9422,SILVERTUC
9428,SKIPPER
9436,AXISCADES
9458,SONUINFRA
9480,LICI
9505,KEYFINSERV
9539,SAKAR
9552,RVNL
9553,PRUDENT
9560,AKSHAR
9570,KHFM
9576,MAHESHWARI
9581,METROPOLIS
9590,POLYCAB
9592,VENUSPIPES
9599,DELHIVERY
9610,ICDSLTD
9617,SPLPETRO
9641,KHANDSE
9652,RELCHEMQ
9668,HIKAL
9673,MEDICO
9678,SOUTHWEST
9683,KPITTECH
9685,TRIDENT
9741,PARADEEP
9750,ETHOSLTD
9756,EMUDHRA
9764,GSTL
9810,AETHER
9819,HAVELLS
9829,SAMBHAAV
9854,RILINFRA
9858,FIDEL
9865,WEWIN
9867,NEXTMEDIA
9874,GOLDTECH
9879,CHEVIOT
9881,CUBEXTUB
9884,TNTELE
9893,SMARTLINK
9897,AIRAN
9902,AXITA
9917,NEOGEN
9921,ALANKIT
9931,VIKASLIFE
9935,GIRRESORTS
9939,ONEPOINT
9985,BHALCHANDR
10074,EMAMIPAP
10099,GODREJCP
10159,ORICONENT
10181,BALKRISHNA
10192,SHYAMCENT
10217,ADANIENSOL
10230,MANORAMA
10238,CONFIPET
10243,SYNGENE
10253,EMKAYTOOLS
10276,KAYA
10277,NGLFINE
10285,AYMSYNTEX
10293,KCK
10297,PPL
10300,RAMASTEEL
10310,AURUM
10311,MWL
10321,PKTEA
10325,SKP
10343,RADHIKAJWE
10350,CSLFINANCE
10358,DGCONTENT
10366,UNIVAFOODS
10370,MODTHREAD
10397,JISLJALEQS
10406,STEELCITY
10407,KSHITIJPOL
10415,MUTHOOTCAP
10417,DYCL
10440,LUPIN
10447,MCDOWELL-N
10453,SATIN
10457,ARVSMART
10473,POWERMECH
10485,RAMRAT
10491,AGNI
10530,SHARDAMOTR
10557,NAVKARCORP
10568,RAMAPHO
10577,KRBL
10578,MPSLTD
10579,MARKSANS
10580,TCI
10588,SHREEPUSHK
10590,LOYALTEX
10599,GUJGASLTD
10604,BHARTIARTL
10610,USASEEDS
10618,SADBHIN
10634,ASAL
10637,OLECTRA
10661,PONNIERODE
10666,PNB
10684,SHAIVAL
10700,SURANAT&P
10710,VEEKAYEM
10726,INDIAMART
10733,SPORTKING
10738,OFSS
10753,UNIONBANK
10755,APTECHT
10768,OAL
10770,AHIMSA
10786,NOIDATOLL
10791,NUCLEUS
10793,SYRMA
10794,CANBK
10836,SEYAIND
10859,DREAMFOLKS
10865,GVPTECH
10871,GRMOVER
10885,JFLLIFE
10889,KORE
10893,DBOL
10898,AMEYA
10905,GENESYS
10925,GODREJIND
10940,DIVISLAB
10945,TMB
10948,STCINDIA
10967,VIVIANA
10971,MEGAFLEX
10982,SABAR
10986,TAPIFRUIT
10990,RADICO
10993,INDORAMA
10995,ISHAN
10999,MARUTI
11022,ABINFRA
11027,INFOBEAN
11033,SANGINITA
11039,DCMNVL
11045,SATIA
11050,SIRCA
11060,KSOLVES
11062,SECURKLOUD
11065,NATHBIOGEN
11072,AGRITECH
11079,GFSTEELS
11082,LIBAS
11141,SUMIT
11149,SHRENIK
11155,CREATIVE
11162,HARSHA
11165,COFFEEDAY
11179,CLOUD
11184,IDFCFIRSTB
11195,INDIGO
11198,ANNAPURNA
11208,KANDARP
11212,SHK
11217,TIMESGTY
11218,MAKS
11220,VARDHACRLC
11223,UCOBANK
11233,SUVEN
11236,JSL
11239,NSIL
11250,PERFECT
11253,WELSPUNLIV
11262,IGL
11265,TVSELECT
11268,RADAAN
11271,DREDGECORP
11275,TVTODAY
11287,UPL
11293,UNIENTER
11297,SIL
11301,LUXIND
11309,BALAXI
11325,MUKANDLTD
11343,AFFLE
11351,PETRONET
11355,PTC
11359,DHANBANK
11364,VAIBHAVGBL
11369,TTKHLTCARE
11371,BGLOBAL
11373,BIOCON
11374,TIPSFILMS
11377,MAHABANK
11387,UMANGDAIRY
11394,ZOTA
11399,SALZERELEC
11403,POONAWALLA
11407,XPROINDIA
11411,RKFORGE
11423,DATAMATICS
11427,NDTV
11432,KRITINUT
11435,SPANDANA
